StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,movieChoice,choiceTime_First Click,choiceTime_Last Click,choiceTime_Page Submit,choiceTime_Click Count,cs_1,cs_3,cs_4,cs_5,cs_6,cs_7,cs_8,cs_13,cs_time_First Click,cs_time_Last Click,cs_time_Page Submit,cs_time_Click Count,val_q_1,val_q_2,val_q_3,val_q_4,val_q_5,val_q_6,val_q_7,val_q_8,val_time_First Click,val_time_Last Click,val_time_Page Submit,val_time_Click Count,freq_q_1,freq_q_2,freq_q_3,freq_q_4,freq_q_5,freq_q_6,freq_q_7,freq_q_8,freq_time_First Click,freq_time_Last Click,freq_time_Page Submit,freq_time_Click Count
3/18/19 9:41,3/18/19 9:46,0,198.136.26.47,100,311,1,3/18/19 9:46,R_1oGaBpSIcmfOMg7,,,,,34.05839539,-118.2779999,anonymous,EN,I would like a filet mignon cooked in medium rare and some mash potato with gravy on the side. ,33.309,84.213,85.431,7,Filet Mignon,Bake salmon,Fettucini carbonara ,Thin crust pizza,freshly cook burger,rack of lamb,sushi roll,Barbcue porkchop,2.327,144.752,145.545,4,7,6,4,4,5,6,6,5,9.445,22.444,26.712,8,1,4,6,7,7,3,3,3,5.592,17.551,18.265,9
3/18/19 10:14,3/18/19 10:25,0,76.77.45.140,100,615,1,3/18/19 10:25,R_6yxK5mHveafqwkF,,,,,37.54789734,-79.71230316,anonymous,EN,Zuchini noodles with a homemade tomato sauce,1.872,24.114,525.584,2,Mac and cheese,Pizza,Veggie Stir Fry,Regular noodles ,Zuchini with homemade sauce,Chili,,,1.139,1.139,46.578,1,6,5,5,4,7,6,,,3.353,9.721,10.69,11,2,5,6,3,3,6,,,3.003,12.535,12.861,14
3/19/19 9:51,3/19/19 9:53,0,129.7.0.75,100,88,1,3/19/19 9:53,R_PzbciuVW5Tpd9fj,,,,,29.83650208,-95.43630219,anonymous,EN,I would ask them to cook some New York strip steak.,0.937,27.162,32.54,2,Fried chicken,Ramen,Ribeye steak,New York strip steak,,,,,0.751,30.997,31.18,3,5,4,6,7,,,,,5.028,7.441,7.634,6,6,3,1,1,,,,,3.557,6.205,6.921,5
3/19/19 9:51,3/19/19 9:53,0,128.211.185.210,100,98,1,3/19/19 9:53,R_3h6IkhFXTeAJz8V,,,,,40.42590332,-86.90809631,anonymous,EN,lasagna,2.16,9.913,32.898,3,lobster,mashed potatoes,spaghetti,lasagna,,,,,0.95,24.432,31.546,4,2,7,5,5,,,,,5.314,9.941,10.969,4,1,6,6,3,,,,,2.705,6.79,7.461,4
3/19/19 9:51,3/19/19 9:53,0,68.197.247.13,100,113,1,3/19/19 9:53,R_b1KTeElYzJBMM6Z,,,,,40.67399597,-73.9701004,anonymous,EN,steak frites,9.117,30.987,31.437,2,salmon,roast chicken ,steak au poivre,split pea soup,,,,,5.833,5.833,33.146,1,5,6,7,6,,,,,7.167,10.597,12.453,4,3,6,2,3,,,,,5.704,12.235,13.412,5
3/19/19 9:51,3/19/19 9:53,0,76.180.67.64,100,108,1,3/19/19 9:53,R_1HksI7siQ4uPhqg,,,,,42.92970276,-78.74340057,anonymous,EN,salmon and roasted vegetables with a glaze sauce,0.744,0.744,31.291,1,salmon,homemade pizza,tacos,chinese food,,,,,0,0,31.54,0,6,7,7,6,,,,,0,0,13.743,0,3,2,7,3,,,,,0,0,10.601,0
3/19/19 9:51,3/19/19 9:53,0,107.5.199.80,100,124,1,3/19/19 9:53,R_1ILszzk0upoo1u9,,,,,42.91040039,-85.82759857,anonymous,EN,fries and a big steak,5.744,5.744,31.633,1,lasagna,desert,tiramisu,,,,,,1.709,1.709,45.185,1,2,4,2,,,,,,6.615,12.798,14.801,5,2,2,2,,,,,,7.933,9.136,11.312,3
3/19/19 9:51,3/19/19 9:53,0,73.197.123.244,100,127,1,3/19/19 9:53,R_1jqYHj7RSgVf4oK,,,,,39.73539734,-74.9838028,anonymous,EN,"Steak, potatoes and carrots",1.363,19.226,30.947,3,pizza,chicken parm,"steak, potatoes and carrots",,,,,,1.083,49.018,49.46,3,4,5,7,,,,,,6.693,8.585,11.811,3,6,4,4,,,,,,6.06,8.497,11.341,3
3/19/19 9:51,3/19/19 9:53,0,107.3.254.177,100,138,1,3/19/19 9:53,R_vlgYRqEE0jxy0QF,,,,,35.84509277,-86.49009705,anonymous,EN,"I would like to have a t-bone steak, baked potato and garlic bread for dinner tnight.",7.884,7.884,34.353,1,meat,potato,bread,butter,spices,,,,2.947,26.567,41.332,6,6,7,7,4,5,,,,9.532,17.812,19.719,5,6,7,6,3,6,,,,5.137,14.225,15.599,5
3/19/19 9:51,3/19/19 9:53,0,67.253.71.74,100,137,1,3/19/19 9:53,R_1lt818F1SNbVeic,,,,,43.68760681,-70.28759766,anonymous,EN,I would love a cheeseburger and fries,3.921,32.1,32.572,2,tuna pasta bake,ribs,pasta,chicken fried steak,fried pork chop,,,,3.77,34.495,35.022,7,4,2,5,2,4,,,,14.164,24.839,25.935,9,2,2,5,2,2,,,,7.427,10.781,11.598,5
3/19/19 9:51,3/19/19 9:53,0,216.195.97.82,100,132,1,3/19/19 9:53,R_2EiPbSSIVg58w9w,,,,,32.7191925,-97.45050049,anonymous,EN,Angel Hair Fettucini Alfredo,0.865,30.713,34.447,3,Steak,Fettucini Alfredo,Lobster,Mac and Cheese,Pot Roast,Brisket,,,3.984,3.984,39.751,1,4,7,4,7,5,6,,,13.611,30.195,31.273,7,2,4,1,6,5,6,,,3.911,9.79,10.892,6
3/19/19 9:51,3/19/19 9:53,0,74.231.123.208,100,133,1,3/19/19 9:53,R_1hyjIfZiwe1a4qJ,,,,,31.21369934,-82.35569763,anonymous,EN,,0.844,0.844,36.424,1,tuna,steak,fish,shrimp,salad,burgers,shrimp scampi,sausage,1.169,44.263,49.131,8,3,4,4,4,4,6,7,5,1.421,17.348,18.275,20,4,4,4,4,2,4,4,4,3.601,7.935,9.123,13
3/19/19 9:51,3/19/19 9:53,0,70.160.77.17,100,124,1,3/19/19 9:53,R_22nTDiHTLOvBJD7,,,,,36.92010498,-76.21219635,anonymous,EN,Sushi,3.942,3.942,32.358,1,Steak,Salmon,Pasta,Sushi,,,,,4.738,36.413,41.306,3,7,6,6,7,,,,,9.013,11.577,12.97,5,6,5,5,6,,,,,3.623,5.987,8.56,4
3/19/19 9:51,3/19/19 9:53,0,172.91.4.169,100,144,1,3/19/19 9:53,R_3O7hCvkVpyb74uZ,,,,,34.06719971,-118.3016052,anonymous,EN,Pizza,4.845,25.053,32.219,3,Pizza,Lasagna,Burritos,Chicken Cordon Bleu,,,,,12.229,39.461,41.251,5,7,7,7,7,,,,,11.816,13.496,18.566,4,3,3,5,2,,,,,5.602,9.298,15.608,4
3/19/19 9:52,3/19/19 9:54,0,172.220.143.56,100,112,1,3/19/19 9:54,R_2Sv1kacFN5rK7dh,,,,,35.73190308,-81.70909882,anonymous,EN,Chicken Alfredo,11.808,28.646,31.601,2,steak,burger,chicken,lasanga,chicken alfredo,,,,3.772,28.073,31.187,2,6,6,6,6,7,,,,5.115,11.761,13.365,6,2,5,5,1,2,,,,9.433,18.464,19.511,6
3/19/19 9:51,3/19/19 9:54,0,96.33.17.27,100,134,1,3/19/19 9:54,R_2qCAyyqlOmizftg,,,,,36.31069946,-82.3809967,anonymous,EN,grilled chicken breast,9.783,9.783,31.347,1,grilled chicken breast,fajitas,,,,,,,12.446,24.864,38.144,3,6,5,,,,,,,17.835,19.447,21.009,2,7,5,,,,,,,8.462,10.551,15.08,2
3/19/19 9:51,3/19/19 9:54,0,69.122.193.108,100,152,1,3/19/19 9:54,R_Dd6Eq0Tj8cSB2h3,,,,,40.82460022,-73.81500244,anonymous,EN,rice and beans with sauteed greens,2.168,2.168,68.037,1,steak,chicken,broccoli,rice and beans,fish,,,,5.206,18.364,35.257,2,6,7,7,7,5,,,,0,0,14.218,0,3,5,5,7,6,,,,6.328,11.605,12.659,5
3/19/19 9:51,3/19/19 9:54,0,67.251.195.59,100,144,1,3/19/19 9:54,R_2ElPiYbTcvzSBKJ,,,,,40.73800659,-73.9858017,anonymous,EN,"i want some beef wellington, with a snapple and liverwurst and jello. i dunno this attention check is dumb.",6.406,6.406,35.395,1,beef wellington,snapple,liverwurst,jello,,,,,1.606,1.606,47.837,1,7,4,1,6,,,,,13.007,13.007,18.294,1,1,7,3,5,,,,,2.412,2.412,10.397,1
3/19/19 9:51,3/19/19 9:54,0,24.241.48.121,100,173,1,3/19/19 9:54,R_W1mxVbsoAPwAra9,,,,,32.45930481,-82.93810272,anonymous,EN,"Steak, baked potato, and some corn.",4.485,4.485,37.552,1,Steak,Potato,Corn,Pear,Peaches,Sausage,,,17.121,17.121,46.338,1,7,6,6,7,4,5,,,19.158,34.386,35.919,6,4,5,6,4,4,6,,,11.278,19.187,20.739,6
3/19/19 9:51,3/19/19 9:54,0,96.70.26.57,100,160,1,3/19/19 9:54,R_1eEOrtyQvRm6uSp,,,,,39.01519775,-94.26039886,anonymous,EN,fried chicken,27.59,28.214,33.661,2,tacos,spaghetti,lasagna ,meatloaf,,,,,9.216,19.288,45.412,2,7,5,5,4,,,,,3.73,8.818,15.471,4,7,3,2,3,,,,,2.678,7.518,7.932,6
3/19/19 9:51,3/19/19 9:54,0,170.115.248.22,100,177,1,3/19/19 9:54,R_ZaZCVqQ3tj6ctY5,,,,,40.05799866,-75.18759918,anonymous,EN,,7.323,7.323,32.59,1,chicken,stuffing ,steak,mashed potatoes,,,,,1.192,1.192,49.46,1,6,7,5,6,,,,,61.953,66.473,67.683,4,6,6,6,6,,,,,6.641,9.074,9.917,4
3/19/19 9:51,3/19/19 9:54,0,192.17.38.117,100,181,1,3/19/19 9:54,R_2uEZmWCY7a3Cj53,,,,,40.10470581,-88.20619965,anonymous,EN,Lasagna,11.291,11.291,45.628,1,Steak filet,Lasagna,Fried chicken,Prime Rib,,,,,1.147,1.147,68.534,1,7,7,6,6,,,,,16.132,20.3,22.956,4,2,5,5,3,,,,,7.611,14.132,15.7,5
3/19/19 9:51,3/19/19 9:54,0,174.50.85.253,100,196,1,3/19/19 9:54,R_1KvVzIH5KTeSf2u,,,,,35.18710327,-106.6659012,anonymous,EN,Rigatoni with Portuguese chorizo and sun dried tomatoes in a light cream sauce,6.967,53.536,90.61,5,pizza,tacos,burgers,pasta with red sauce,,,,,6.256,6.256,52.718,1,7,7,6,6,,,,,6.212,9.354,10.762,4,6,3,4,7,,,,,5.204,21.044,23.856,7
3/19/19 9:51,3/19/19 9:54,0,75.186.85.64,100,189,1,3/19/19 9:54,R_2AR0nbyxrNxHm0U,,,,,40.28739929,-84.16220093,anonymous,EN,Spaghetti & Garlic Toast,2.781,25.967,31.516,2,Pizza,Chicken Alfredo,Spaghetti & Garlic Toast,Tacos,,,,,2.096,67.973,68.999,6,6,5,7,5,,,,,7.781,28.709,30.729,10,6,5,6,4,,,,,3.835,22.772,24.106,5
3/19/19 9:51,3/19/19 9:54,0,40.138.113.224,100,190,1,3/19/19 9:54,R_1E4IZ4yF29aOAgp,,,,,42.36399841,-71.02649689,anonymous,EN,"prime rib, mashed potatoes and asparagus",10.847,10.847,47.537,1,prime rib,lobster,chicken marsala,spaghetti and meatballs,stuffed shrimp,ribeye steak,,,12.715,12.715,44.606,1,7,6,5,4,5,6,,,24.04,39.834,41.906,7,2,3,4,5,3,3,,,8.736,16.384,18.233,6
3/19/19 9:52,3/19/19 9:54,0,198.190.25.4,100,169,1,3/19/19 9:54,R_1prGBuuxjhLTiw8,,,,,35.65150452,-80.48889923,anonymous,EN,Chicken Alfredo,2.914,3.87,44.79,2,Steak,Burgers,Pasta,Lasagna,Pizza,,,,1.395,87.701,87.987,2,5,6,4,5,6,,,,5.811,8.255,9.296,5,6,6,5,5,6,,,,4.267,6.424,7.44,5
3/19/19 9:52,3/19/19 9:55,0,73.173.103.253,100,129,1,3/19/19 9:55,R_1gwnxrjjhnUB8bI,,,,,39.21240234,-76.87760162,anonymous,EN,Steak with sweet potatoes and broccoli,25.075,25.075,31.199,1,Chicken breast,Lentil stew,Steak with sweet potatoes and broccoli,,,,,,12.567,27.018,32.581,2,4,7,6,,,,,,0,0,35.68,0,5,7,1,,,,,,11.847,12.914,14.252,2
3/19/19 9:51,3/19/19 9:55,0,99.85.102.179,100,211,1,3/19/19 9:55,R_2YK6lQNYsp8YGbH,,,,,39.95689392,-82.96440125,anonymous,EN,"Sirloin steak with some potatoes and a green veggie, like broccoli.",11.931,11.931,46.48,1,spaghetti,ribs,pizza,sirloin steak,,,,,24.065,26.054,36.85,2,7,5,7,6,,,,,14.403,18.96,25.722,4,7,2,4,2,,,,,6.362,21.405,22.82,8
3/19/19 9:51,3/19/19 9:55,0,168.215.104.226,100,205,1,3/19/19 9:55,R_ehByE4EJoyPd4yd,,,,,39.63200378,-84.26339722,anonymous,EN,Chicken Covered in Gravy with Mashed potatoes,10.522,10.522,33.919,1,Meat Loaf,Spaghetti,Baked Zetti,,,,,,1.151,1.151,59.963,1,6,7,6,,,,,,23.262,31.842,32.56,3,6,3,7,,,,,,7.443,10.266,11.069,3
3/19/19 9:53,3/19/19 9:55,0,104.136.244.184,100,124,1,3/19/19 9:55,R_1myoTm3n5Hfz6E5,,,,,28.47970581,-82.55619812,anonymous,EN,stuffed pork chops,1.415,1.811,31.031,2,steak,chicken,tacos,,,,,,1.107,1.434,42.761,2,6,7,5,,,,,,1.863,9.935,12.846,5,5,7,6,,,,,,6.16,8.373,9.045,3
3/19/19 9:52,3/19/19 9:55,0,144.163.209.185,100,160,1,3/19/19 9:55,R_1QoxjhuhT5jjTIw,,,,,36.33120728,-92.37529755,anonymous,EN,Enchiladas,14.537,14.537,38.968,1,Spaghetti,T-bone steak,Chili,Tacos,,,,,5.93,46.241,54.544,6,5,7,6,6,,,,,9.069,13.421,16.211,4,4,4,5,5,,,,,8.343,14.887,15.998,4
3/19/19 9:51,3/19/19 9:55,0,69.206.94.117,100,248,1,3/19/19 9:55,R_OweuAxlltxXBPa1,,,,,41.37860107,-74.6690979,anonymous,EN,"Steak with mushrooms, and salad. ",8.211,8.211,50.582,1,steak,baked potato,sour cream,salad,mushrooms,croutons,tomato,cucumber,11.867,63.281,69.781,9,6,6,6,7,7,6,7,6,13.445,37.702,40.145,10,1,2,1,7,7,5,7,6,5.677,24.646,27.573,11
3/19/19 9:53,3/19/19 9:55,0,97.92.21.184,100,111,1,3/19/19 9:55,R_3oO1zgY38HMldCJ,,,,,44.73939514,-93.12580109,anonymous,EN,Steak and potatoes,5.107,5.107,31.556,1,Shrimp,Pasta,Steak,Potatoes,,,,,1.432,22.845,31.491,2,6,3,5,6,,,,,8.514,13.166,14.6,4,4,2,3,5,,,,,3.828,8.21,9.515,4
3/19/19 9:51,3/19/19 9:55,0,172.220.178.56,100,231,1,3/19/19 9:55,R_1f0GiQcOw1eE9yS,,,,,36.13589478,-81.15730286,anonymous,EN,mexican dinner,6.122,6.122,80.078,1,mexican dinner,italian dinner,breakfast for dinner,,,,,,9.814,9.814,48.426,1,7,6,5,,,,,,12.969,19.737,23.319,4,7,6,4,,,,,,6.417,14.289,16.168,3
3/19/19 9:53,3/19/19 9:55,0,47.37.186.142,100,156,1,3/19/19 9:55,R_3BFVgwaeXGSobS1,,,,,33.86810303,-118.1831055,anonymous,EN,tacos,0.764,17.688,31.235,7,burritos,pasta,spaghetti,,,,,,0.828,23.32,32.337,3,6,5,6,,,,,,6.066,8.756,11.629,5,4,4,4,,,,,,2.511,3.295,14.539,3
