"subject","version","assignmentId","cond","instructions_time","total_time","gender","s1_bonus","use_s1","write_down","comments","attention_check_truth","attention_check_result","tr_choices","tr_rt","tr_resp","tr_resp2","tr_resp_correct","tr_resp2_correct","stamp","id"
"3f678a2078227f5d7c87efcd4eac1eb1","cs_wg_mon_conf_loss_real1","39L1G8WVWQS3LGTS1G50ZF7J8A413W",0,176839,1093560,"Male",1384,"No","No","I just tried to visual the words in my head as best as I could.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:34:07",14298
"c71aa12ac6d08001f358d76cf4e43498","cs_wg_mon_conf_loss_real1","3VNL7UK1XFKZACLUNUQC6UFB3J0FTS",1,134188,1058424,"Female",1053,"No","No","I was trying to go through the months and ran out of time. I wrote in September quickly and shook my head as I thought about May.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:34:47",14299
"fb2328dfc53e7c541dd32bbde1efddb7","cs_wg_mon_conf_loss_real1","3R5F3LQFV2LP217MSPYKFCP6GGDZOE",0,73094,914847,"Female",1388,"No","No","I started with November because of the v, but then I tried saying each month in order one by one. I didn't get through them all ",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:35:02",14300
"b8cf446731ee39a255d7f22eba530789","cs_wg_mon_conf_loss_real1","3TDXMTX3CBVDI5C8SPO4YH0PZ3H6IZ",0,87675,1183386,"Female",1346,"No","No","ran down months in head but wanted to be sure to have an answer in place before time ran out",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:35:10",14301
"9bab0040ea30352458ad3bfa7e4d350a","cs_wg_mon_conf_loss_real1","34J10VATJFZ6SNVS7Y224MHGZ4TQIG",1,103097,1105482,"Female",1018,"No","No","I went with my instincts. The months popped up in my head randomly.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:35:13",14302
"6df2ce0e918974899e7637179cd4d165","cs_wg_mon_conf_loss_real1","3ZR9AIQJUBAOWNRE5B6JVFGFHIU04D",0,116792,1172313,"Female",1274,"No","No","I started at the beginning of the year and thought of months until I ran out of time. ",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:35:18",14303
"e2dcc6eed89e71148d86339d89b55d3c","cs_wg_mon_conf_loss_real1","32ZKVD547FO4YEBK3DYP5RKSUMVB3P",1,158076,1344395,"Male",1144,"No","Yes","My strategy was to try visualizing the words in my mind.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:35:36",14304
"2e5fe0e71e606357183b9f6aede98522","cs_wg_mon_conf_loss_real1","3R6P78PK7KC5OCHPYEWUOFFN4Y0GTS",0,130676,1226114,"Male",1401,"No","No","I thought of the longer months w/later vowels..obviously missed may :) ",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:36:15",14305
"e00da79555aed361acdb88242f5e809f","cs_wg_mon_conf_loss_real1","3QJOXOW4XJS3R3VEJM5U2YZJXAPEM8",1,137641,1112290,"Female",971,"No","No","I actually thought of November when I saw the sample question; i kind of ran through the months randomly when the actual question came up but May never occurred to me even then. Somehow I equated more letters in the word=higher third number in my head!",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:36:30",14306
"c31a85663dbe2ec62bb92e9a8b470d1c","cs_wg_mon_conf_loss_real1","3137ONMDKG63ZTZS8J7ZPTFM1ODEG0",0,93363,1172501,"Male",1326,"No","No","i thought about months and wrote one down, then went through the calendar in order in my head",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:36:32",14307
"ce889dc24d3bc53756faa92934b99fe6","cs_wg_mon_conf_loss_real1","39OWYR0EPKSVRYKOX0DBEB7QILIFYH",1,116138,1439150,"Female",1131,"No","No","",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:37:03",14308
"74fbfacac4011bd196e581153df4240b","cs_wg_mon_conf_loss_real1","3NPI0JQDAO6B1PAO1XMHIOTF5PNTP9",1,82693,1123743,"Female",957,"No","No","I just thought of March first because it was a short month and R is late in the alphabet...but then, I thought ""OCT"" and realized that T is after R in the alphabet, so I chose October. ",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:37:10",14309
"ce12a851295fa081aca0cb36eefbb364","cs_wg_mon_conf_loss_real1","37WLF8U1WPR4O02WSS9GBXF2R766KA",1,192825,1367737,"Male",1052,"Yes","No","challenging and fun. i felt the v would give me the most points",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:37:54",14310
"e385b4096b98592caba3082fbdcd55f8","cs_wg_mon_conf_loss_real1","3QRYMNZ7FYIBY4YBLI9PEZOK5AMTND",1,85343,1188444,"Male",1117,"Yes","No","My Apologies , Auto correct place "" TREASURE "" where i meant August.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:38:05",14311
"1760d4eacc348e1a1db3b04e488d042e","cs_wg_mon_conf_loss_real1","38YMOXR4MU0VJ0WDH6SJZ89XEEF6W6",1,136001,1115417,"Female",928,"No","No","No.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:38:10",14312
"e18eb5a06a48186329f301a1ef8ee69a","cs_wg_mon_conf_loss_real1","3VAR3R6G1P2AI56ZJZY72SS2H768OI",1,193213,1458604,"Male",1075,"Yes","No","",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:38:12",14313
"6d25d7621a8bcc0961afcbb484169a5f","cs_wg_mon_conf_loss_real1","35GMH2SV3EIRR6GQW2K7U2OOSA4EON",0,211482,1178950,"Female",1179,"Yes","No","P",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:38:12",14314
"8b4d7f8ef92e92a941860ddb62b6af48","cs_wg_mon_conf_loss_real1","3WYP994K17SZ85RDW7A7K5UDPMEY6W",1,185036,1285937,"Female",1014,"No","No","no",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:38:42",14315
"7498a00366b218b59a5e03b8c5b600a6","cs_wg_mon_conf_loss_real1","3M0BCWMB8VX1PCD8DX9RAOVPSFQWBH",1,208528,1266759,"Female",1140,"No","No","I was thinking about how many vowels the word had september first came to mind, then November poped up in my mind, I didnt even think about may and was like not much else comes after v in the alphabet so I went with that because the timer was running out.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:38:53",14316
"5505e6519f92cb871618bf3e8e81c1c8","cs_wg_mon_conf_loss_real1","3P4RDNWND57P60RFC8IT7L5UL91JII",1,73067,931563,"Male",1102,"No","No","I listed months so I could physically see the third letter in the notepad",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:38:54",14317
"042a8354d4983b7b23c84cca277672c8","cs_wg_mon_conf_loss_real1","3ZDAD0O1T1EGAYCFNOWYC1FI7OWXT1",1,50993,850144,"Male",1020,"No","No","I was going to go through in order, but then ""MAY"" jumped to mind.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:39:08",14318
"072de62f22c98b4bc17e317d9b891cf7","cs_wg_mon_conf_loss_real1","3HWRJOOET536PY8J3J1GE7YPPZ7ESK",0,101336,1278898,"Female",1251,"No","No","trying to remember the highest value",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:39:55",14319
"d958663a29b3447fcfe5eb5b10fefe42","cs_wg_mon_conf_loss_real1","3PB5A5BD0V7IQEKILBTTJJN5F1A7G8",0,127238,972615,"Male",1371,"No","No","no.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:40:27",14320
"5d058007918a149ee5a5e30775e4a53a","cs_wg_mon_conf_loss_real1","3K9FOBBF2HKNFRQ6C97YS8E3BX0LN2",0,103206,1395905,"Female",1419,"No","No","",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:40:27",14321
"633150bc7903343f2ee0eb3e73b9a48a","cs_wg_mon_conf_loss_real1","3JMSRU9HQIVMHQPNXE6LPUIWO30VE5",0,191195,1526133,"Male",1412,"No","No","I just tried to remember how the months were spelled. Once I thought of November I thought that was a really good answer and I was running out of time so I chose it.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:40:38",14322
"ef1176283bc2c47299ab35941123bc80","cs_wg_mon_conf_loss_real1","3PMBY0YE2749NLS6YMVU7OTWCZ59CB",0,152803,1581542,"Male",1402,"No","No","Saying in my head the 3 letters of each month. For example, what I said was Jan Feb Apr Jul Sep Oct Nov. I kept in my mind for some reason December as being quite early in the line of alphabetical order. ",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:41:33",14323
"23975b382eaecbf50d173fe141d05f9c","cs_wg_mon_conf_loss_real1","3RRCEFRB7MDPGAUO3R38FWCY8MS4B4",1,67905,779241,"Female",1017,"No","No","I am dumb and questioned whether May was actually a word I saw in the first part. I didn't think it was. And by the time I thought of that I timed out, I should've put November, damnit :( But yeah - I couldn't remember if May had been in the first part of the study. Oof.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:42:27",14324
"4b62f3b0e9b59701d36a83bee2d9ca5a","cs_wg_mon_conf_loss_real1","38BQUHLA9W1P3U83D08Q7ATX1CVOMM",0,373516,1411770,"Female",1385,"No","No","I honestly typed what came to mind. Because August it right around the corner it came to mind first. But then I just started to go through the rest of the months alphabetically.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:42:39",14325
"caac50a2905f8462c417ef159e3f40df","cs_wg_mon_conf_loss_real1","3WI0P0II61TPWDU6SZQRIFB83LNRDG",0,168010,1364720,"Male",1382,"No","No","",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:42:42",14326
"ab09a9b294929fd80847300936f9ccd0","cs_wg_mon_conf_loss_real1","3GA6AFUKOOPEPRE6358LR2NQPZ03HX",1,97033,1016759,"Male",1058,"No","No","I immediately thought of November and I was happy because V is near the end of the alphabet. Knowing that there was a timer, I wanted to enter my final answer ""November"" right away. So once I had my answer in I quickly visualized each month in the year, focused on the third letter and came to the conclusion that I had the best answer. Unfortunately May is actually the best answer, but maybe it was the fact that it was only three letters long that I overlooked it as a possibility.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:43:08",14327
"27a6e3906c59c73f87e7837a268911b8","cs_wg_mon_conf_loss_real1","37W3JXSD669X2K6JNPNBIZTQDO8WYW",0,109853,1386887,"Female",1290,"No","No","I just ran through the months in my head as quickly as I could until I came to October",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:43:20",14328
"38eb9f8e06f572b37ef6c65d21cb6ddb","cs_wg_mon_conf_loss_real1","3Y5140Z9DXHLSBUD7LND4HR6U88IPI",1,98475,1071689,"Female",1047,"Yes","No","I went through the months I tried to memorize in my head instead of thinking about the months in order.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:43:55",14329
"b3405c4dc31a9b2cc4988b3cf256cb2b","cs_wg_mon_conf_loss_real1","3TVRFO09GKGSRL4AEFU7QA51DBAXLY",0,95752,1313935,"Male",1397,"No","No","Just going thru the months one at a time.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:44:15",14330
"9e60f12d6a348068cfe55b142b2547cd","cs_wg_mon_conf_loss_real1","34YB12FSQYP1BHR5PHVI21KVAQ5GMS",0,103595,1057629,"Female",1404,"No","No","Thinking of months that came up with a late letter",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:44:54",14331
"9450b5be5e5de72336f0f5d2ff4c1c09","cs_wg_mon_conf_loss_real1","30BXRYBRP4YBGPGUDPJNWZYNNSWWHY",0,75955,928372,"Female",1419,"No","No","No - Try to think through the months as fast as I could. ",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:45:51",14332
"3ff8d22f7c604bb41cafdc6011272d2b","cs_wg_mon_conf_loss_real1","324G5B4FB39LFA9X794QYR0P8KK704",1,88049,1375782,"Female",1141,"No","No","I just ran through each month in the year, thought about the 3rd letter, and compared it with the month that had the latest letter thus far. If it was longer, I would keep that new letter in my mind as I continued thinking through each month.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:46:27",14333
"627b5ea1b378b555d1b30dd262929344","cs_wg_mon_conf_loss_real1","33CKWXB73JL7BDFDECRHBMSMAQQ114",0,505134,1646576,"Female",1329,"No","No","For the third letter, I felt time crunched so I honestly just thought randomly and started singing the alphabet. I got lucky with May as I think this is the best choice.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:47:29",14334
"c175ecf8ff222b4b24300ce2b7c78186","cs_wg_mon_conf_loss_real1","37U1UTWH9VNDFIYFBRFBWNX7SUQ8RR",1,118503,1238087,"Male",1093,"No","No","There was no strategy. I just started thinking of the months of the year very quickly.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:47:56",14335
"e5680a4118f74837f8d86dbdaa66584b","cs_wg_mon_conf_loss_real1","3R0T90IZ1SDO2VFECS14Z5FJGC0CG5",1,92287,1805996,"Male",1112,"No","No","born i november so that was the first month that came to mind, then just went through them in order to beat a V",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:48:05",14336
"a01fc927005d5509bf45e80bd2b38956","cs_wg_mon_conf_loss_real1","3WI0P0II61TPWDU6SZQRIFB83LPDR4",1,108097,859273,"Male",1086,"No","No","I tried to think as fast s possible of the 12 months.  I didn't think of May which is the correct answer though.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:48:05",14337
"9dfea741e59a66df604555c4917b3ae8","cs_wg_mon_conf_loss_real1","3VW04L3ZLT7NRFLZSYXV140OKKJXXJ",1,86896,1061810,"Female",1037,"No","No","Random months just came into my head with May being last.  I knew that 'y' is the second to last letter in the alphabet and that the odds of another month 'beating' it were low, so I just quickly went with May.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:48:10",14338
"4501f716c87c633815b272dd3ec1130d","cs_wg_mon_conf_loss_real1","3JBT3HLQF837N1JN7PBZ4CUWQL9ZPV",1,107920,1245990,"Male",1123,"No","No","I just started thinking of the months and determining where in the alphabet each third letter fell. Then I picked the one I thought was the best one given the amount of time left.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:48:16",14339
"0531dbdccfed7f7493a214024e6596ee","cs_wg_mon_conf_loss_real1","34MAJL3QP4OKDFQBOYO2XDEMKUF43D",0,79308,1420667,"Male",1274,"Yes","No","Think of the alphabet in reverse and apply it to the months of the year",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:50:39",14340
"d940350752bf521dfd818c1b512d2ae1","cs_wg_mon_conf_loss_real1","39L1G8WVWQS3LGTS1G50ZF7J8A513X",1,109449,1236849,"Female",1114,"No","No","Trying to quickly think of the third letter of the months.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:50:55",14341
"082f0c90ca45e91fc9d66a8db26799ce","cs_wg_mon_conf_loss_real1","3TMFV4NEP8FINEF1ALPHJM5OK958WU",1,162394,1603706,"Male",1132,"No","No","I was trying to think about the alphabet starting with z and backwards while thinking about the third letter in the months name. ",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:51:25",14342
"479dfa83a1445ce29202998e773a7ad3","cs_wg_mon_conf_loss_real1","3PWWM24LHSZWBYHUW10AVFPZG2B287",1,428489,1706652,"Female",995,"No","No","no",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:51:43",14343
"613cf0f80658f7e4ce646aa697b3c2b7","cs_wg_mon_conf_loss_real1","34X6J5FLPTZ2NYFYPGN2GNWGCJJJQM",1,191784,1118054,"Male",1041,"Yes","No","At first my strategy was completely random but then I just started flipping through all the months chronologically in my head. It was fairly easy to quickly visualize the third letter of each word",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:52:58",14344
"9ada1ca28cbf9ebef3c4dc7cff474f9d","cs_wg_mon_conf_loss_real1","3EA3QWIZ4IWJK3NKO2WX9RS3JBSTIX",1,91923,1311762,"Male",1117,"No","No","I quickly ran through the alphabet, latching on to the latest number. I was fairly confident 5 in with May, but ran through anyway since I had time",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:53:16",14345
"85e5f1a604b5643d0ae4b686f5fe337d","cs_wg_mon_conf_loss_real1","3WMOAN2SRBYQBW20QD94FHC52V3NVO",1,147400,1597203,"Female",1100,"No","No","I read the question incorrectly when it was brought up during the actual trial so I didn't have a strategy and just went with the first month that popped into my head.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:53:36",14346
"a875c4d41e4bf80da6d5b38a96af6d7f","cs_wg_mon_conf_loss_real1","3X65QVEQI0O4ONTFNJYKCXKRCTOLCM",0,130310,1001301,"Male",1391,"No","No","",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:53:38",14347
"20fa4d29fce296ca4b7f69c86723dc46","cs_wg_mon_conf_loss_real1","35USIKEBNRH5W6NZP51W3PW6L2B6NF",1,576557,2246033,"Female",1123,"No","No","Just thinking of letters fast.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:53:40",14348
"f13fa8fe108910b3419f33401006a84f","cs_wg_mon_conf_loss_real1","3ERET4BTVMAR6J4UQZCSV764H8F9KP",1,155405,1460328,"Male",1106,"No","No","monthly order",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:54:17",14349
"e467e9f24f66674b2602089366f8ce3c","cs_wg_mon_conf_loss_real1","3W8CV64QJ2004T3MKE9VIFQCPRBH9T",0,80131,1237924,"Female",1428,"No","No","I don't have any questions. For the third letter question, I tried to think of the later letters, but I can't believe I completely neglected May. I think I was thinking about the words of longer length.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:54:37",14350
"c20bd0e9e4b6960435902dc48e1ed980","cs_wg_mon_conf_loss_real1","3I02618YA07Q12PD12CRNKFHO3UUP1",1,227965,1971780,"Male",1132,"No","Yes","I didn't have any real strategy other than contemplating the spelling of the words ",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:55:30",14351
"f41677c3cf1b52e2bac1890874f1a4e1","cs_wg_mon_conf_loss_real1","3QAPZX2QN4EET9CR1XNV20JHX4102K",1,138232,956337,"Male",1098,"No","No","I typed out all of the months as quick as I could in the notepad and found the best answer",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:56:06",14352
"eac3cf3041090cffb6894a96c758dd40","cs_wg_mon_conf_loss_real1","3PS7W85Z8Z3Q92UHK8QKWYT00L5T9E",0,170430,936308,"Male",1210,"No","No","No comments thank you. I couldnt remember any of the months when the time came though",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:56:20",14353
"6e26d817219bb5131ff8d4e3c93744e1","cs_wg_mon_conf_loss_real1","339ANSOTR53KHKXXUTI580570Y2IKH",1,138386,1775253,"Female",1107,"Yes","No","I was first thinking about the months that had the most points in Part 1. But then I switched it up and decided to go through the months in chronological order.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:56:27",14354
"3b38b3431bc68105613b44c64037a8b8","cs_wg_mon_conf_loss_real1","3F1567XTNW6DHM2P34WPRTIDGE6Q9X",1,66357,1897790,"Female",1127,"No","No","I honestly thought of September first and then tried to quickly think of any months with a higher letter count that may have a letter later in the alphabet.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:56:28",14355
"c47263abf36b3895d4a6dc8406a9727e","cs_wg_mon_conf_loss_real1","3KWTYT08704JP2K089BCYREHKC2L5E",1,138210,1186192,"Female",1088,"No","No","I just tried to think of the word with a letter near the end of the alphabet. I remembered November first and even though considered others briefly, stayed with it. I was a little nervous because of the time limit.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:56:31",14356
"2493fcbd53dd8cd31ecd211dfbf979e5","cs_wg_mon_conf_loss_real1","32ZKVD547FO4YEBK3DYP5RKSUMW3BI",1,167029,1858534,"Male",1134,"No","No","The website wouldn't allow me to type in the dialogue box so I couldn't answer the last question regarding the order of the months I'd considered.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:57:25",14357
"87267f6db10dd4c8828439fe0755a3f2","cs_wg_mon_conf_loss_real1","3BF51CHDTVBI8ZF9KIQ2P4PJMNG0HZ",0,203461,1387325,"Female",1227,"No","No","I just went with my gut feeling but I should've gone with May instead.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:57:40",14358
"9d921e5a3c52323c34c5532298da1116","cs_wg_mon_conf_loss_real1","3NQL1CS15R9KNV6EXFIFWXAC6F8YVQ",0,134632,937238,"Female",1371,"No","No","I iterated through the months in order until I got to May, realized no months contained a Z, and then I knew I was done.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:57:53",14359
"912cefc26856147d94dcf2d8d239481c","cs_wg_mon_conf_loss_real1","3KWTYT08704JP2K089BCYREHKC1L5D",1,188743,1904411,"Female",1128,"No","No","Longer words",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:58:25",14360
"8086730f4243ddfcd3d9731114a94314","cs_wg_mon_conf_loss_real1","3KB8R4ZV1E85SQN8YS59OL91YR0GB2",0,58753,782424,"Male",1319,"No","No","just ran thru months in my head fast as possible till I HIT nOV.  Didn't think anything would be later than v so I stopped there with about 10 seconds left to spare",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:58:33",14361
"6e6083f274a46408647f2f8f01065e31","cs_wg_mon_conf_loss_real1","3K5TEWLKGVCYXVR9TXWCA9GOGW8IV2",1,313851,2375714,"Male",1125,"No","No","No. I found this HIT to be really fun and interesting.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:59:00",14362
"e7ff587e6c90a0f7f8d30f33a55c3681","cs_wg_mon_conf_loss_real1","3P4MQ7TPPXD919FXI6DVNAI4IEABBI",1,69837,793482,"Male",845,"Yes","No","NO COMMENTS",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:59:04",14363
"342a8b6c532334652032b31c0378ed7f","cs_wg_mon_conf_loss_real1","3PIWWX1FJJ7L1BBLUQ3TJMKUYOTJJX",0,89234,935944,"Male",1404,"No","No","I let my mind pick it at first and then verified by going through as much of the months as time permitted.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:59:16",14364
"ba86a2f29925537032c85d5d0ae3bb2c","cs_wg_mon_conf_loss_real1","34V1S5K3GS2K74J5OVIRLO1MGDU69G",1,61926,813908,"Female",1053,"No","No","I went through the months starting with January. When I reached May I realized that that would be the month with the 3rd letter furthest in the alphabet.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:59:35",14365
"0faf8e2fba48fc6a87f9a049595bfc93","cs_wg_mon_conf_loss_real1","3WYGZ5XF3WG9BY0TZ5CJC2BU9W6KSD",0,84763,830718,"Male",1408,"No","No","My strategy was just to think of any I could, then determine the one with the latest 3rd letter, based on what I could remember quickly",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:59:53",14366
