subject,cond,question,question_ind,all_values,question_order,comp_check,comp_check_pass,comp_check_rt,comp_check2,comp_check_pass2,choice,scratch,rt,stamp,id
15737b958a86bbc07d367a0122820b1f,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,Junr,NA,16000,6/5/19 12:24,37554
acb9811940a7f4e9730d36be0a30e7fc,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,"april
july
janyar",NA,16000,6/5/19 12:24,37555
0588f4985fe8828b0ab3cc7b9047e4f8,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""February"":0,""December"":1,""April"":0,""November"":0,""June"":0,""March"":0,""July"":1,""January"":1,""May"":0,""October"":0,""September"":1,""August"":1}",NA,8888,6/5/19 12:24,37556
2a74d78b51669090f8a6d97909151eda,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,"june
june",NA,16000,6/5/19 12:24,37557
adcee5ecf15a329d2c6291b5e01d7191,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""September"":0,""July"":0,""February"":0,""April"":0,""June"":0,""March"":0,""August"":1,""October"":0,""December"":1,""January"":1,""May"":0,""November"":1}",NA,4310,6/5/19 12:24,37558
a7645269c2219564d4519dd722f13cf1,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,"September
September",NA,16000,6/5/19 12:24,37559
4e647d8afe3ad4afee614629541a9bc4,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""September"":1,""February"":1,""May"":0,""August"":1,""January"":0,""November"":0,""June"":1,""December"":0,""July"":1,""October"":1,""April"":0,""March"":1}",NA,4251,6/5/19 12:24,37560
01bccaa4dd71661a7bc855c50cc08033,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""November"":1,""January"":0,""August"":0,""June"":0,""October"":0,""April"":0,""July"":0,""December"":1,""September"":1,""May"":0,""March"":0,""February"":0}",NA,6380,6/5/19 12:24,37561
792de444e782773689cfe01b3b4b1748,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""October"":0,""April"":1,""February"":0,""November"":1,""March"":0,""July"":0,""May"":1,""January"":0,""June"":0,""September"":1,""August"":1,""December"":0}",NA,1855,6/5/19 12:24,37562
9b1544bef9f96d79a951810764453784,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,May,NA,16000,6/5/19 12:24,37563
8fb788f4b7f1947957247e54d49ad334,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,june,NA,16000,6/5/19 12:24,37564
575b72a6389eaee6685a520a37ceb7c1,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,March,NA,16000,6/5/19 12:24,37565
9fc361f9a98d3c0094182d9a50ebeba5,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""April"":0,""August"":1,""December"":1,""June"":1,""July"":0,""February"":0,""September"":1,""January"":0,""November"":0,""May"":0,""March"":1,""October"":0}",NA,7144,6/5/19 12:24,37566
c6e6b8d0f24a8eca0431fee027778ccf,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,January,NA,16000,6/5/19 12:24,37567
cb7a97d1b84b2f7db47d0702c0552ad0,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,October,NA,16000,6/5/19 12:24,37568
febe35ef4e5436750dfae0694ab706e6,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,"May
",NA,16000,6/5/19 12:24,37569
d9f95e4b4bb24a34da0eaf6b10a60f08,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,"
ap",NA,16000,6/5/19 12:24,37570
3e7f24fcab2e1790be89c88b2a8e253e,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,July,NA,16000,6/5/19 12:25,37571
350701e14e541d1d2e974801138baa47,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,August,NA,16000,6/5/19 12:25,37572
683a8784423082929bf4549678371ba8,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,"may
may",NA,16000,6/5/19 12:25,37573
9465c38635d14d19a28344227d8fe401,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,April,NA,16000,6/5/19 12:25,37574
5528af7ee0e138e557b032194547d5bf,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""October"":0,""August"":1,""February"":0,""July"":1,""September"":1,""January"":0,""December"":1,""June"":0,""March"":0,""November"":0,""April"":0,""May"":0}",NA,7232,6/5/19 12:25,37575
71b9e5d3be0147c79ee924491bd791b1,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,june,NA,16000,6/5/19 12:25,37576
15737b958a86bbc07d367a0122820b1f,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""July"":1,""February"":0,""May"":0,""June"":1,""April"":0,""March"":0,""October"":1,""December"":0,""September"":0,""November"":0,""August"":1,""January"":0}",NA,1484,6/5/19 12:25,37577
d70d824270de5baca1aa20a78e3f95f3,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,"April
April",NA,16000,6/5/19 12:25,37578
8f7653d451cf3a002900498bdf463d36,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,june,NA,16000,6/5/19 12:25,37579
7beae255fd7d34f1cbf5d3515d72128b,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,"January
",NA,16000,6/5/19 12:25,37580
acb9811940a7f4e9730d36be0a30e7fc,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""June"":0,""July"":0,""February"":0,""October"":0,""March"":0,""May"":1,""September"":0,""August"":1,""April"":1,""November"":0,""December"":1,""January"":1}",NA,3024,6/5/19 12:25,37581
922cdd7a04398b2a20d8a0ea057fef45,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,"december
december",NA,16000,6/5/19 12:25,37582
dd1e7f800c7b8525151b2a6835f52d7d,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,"March
March
March",NA,16000,6/5/19 12:25,37583
d1a0a583f6ea3f1795791b87b6991185,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,October,NA,16000,6/5/19 12:25,37584
2a74d78b51669090f8a6d97909151eda,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""January"":1,""June"":0,""May"":1,""December"":1,""February"":1,""March"":0,""November"":1,""April"":0,""July"":1,""October"":1,""August"":0,""September"":1}",NA,9444,6/5/19 12:25,37585
cc6a2d2b667efa492ba164339eac64a9,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""January"":1,""July"":1,""March"":1,""November"":0,""April"":0,""September"":0,""August"":1,""October"":0,""December"":0,""May"":1,""February"":0,""June"":1}",NA,3833,6/5/19 12:25,37586
febe35ef4e5436750dfae0694ab706e6,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""September"":0,""May"":1,""July"":0,""November"":0,""August"":0,""March"":0,""April"":0,""December"":0,""February"":0,""October"":0,""January"":0,""June"":0}",NA,2834,6/5/19 12:25,37587
8fb788f4b7f1947957247e54d49ad334,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""December"":0,""September"":0,""February"":0,""May"":1,""November"":0,""June"":1,""March"":0,""July"":1,""October"":0,""April"":0,""August"":0,""January"":0}",NA,4392,6/5/19 12:26,37588
cb7a97d1b84b2f7db47d0702c0552ad0,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""December"":0,""May"":0,""April"":0,""March"":0,""February"":0,""July"":1,""January"":1,""June"":1,""August"":0,""October"":1,""September"":1,""November"":0}",NA,3446,6/5/19 12:26,37589
9b1544bef9f96d79a951810764453784,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""July"":1,""December"":1,""January"":1,""October"":1,""November"":0,""May"":0,""June"":0,""August"":0,""February"":0,""September"":1,""March"":1,""April"":0}",NA,6228,6/5/19 12:26,37590
575b72a6389eaee6685a520a37ceb7c1,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""December"":1,""February"":1,""October"":1,""August"":1,""July"":0,""January"":0,""April"":1,""September"":1,""November"":0,""May"":1,""June"":0,""March"":1}",NA,6020,6/5/19 12:26,37591
a791e7402ed884837ee8216b9a3122c6,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,March,NA,16000,6/5/19 12:26,37592
1ff16cb968c4e69fb8a28a2d6393b7d8,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,October,NA,16000,6/5/19 12:26,37593
683a8784423082929bf4549678371ba8,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""August"":1,""May"":1,""July"":1,""September"":0,""October"":0,""April"":0,""December"":0,""June"":1,""February"":0,""March"":0,""November"":1,""January"":0}",NA,4107,6/5/19 12:26,37594
350701e14e541d1d2e974801138baa47,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""June"":1,""March"":1,""February"":0,""January"":1,""September"":0,""November"":0,""August"":1,""May"":0,""July"":1,""October"":0,""December"":0,""April"":0}",NA,7794,6/5/19 12:26,37595
71b9e5d3be0147c79ee924491bd791b1,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""August"":0,""May"":1,""December"":0,""July"":1,""April"":1,""October"":0,""September"":0,""November"":0,""March"":0,""February"":0,""June"":1,""January"":0}",NA,1869,6/5/19 12:26,37596
c6e6b8d0f24a8eca0431fee027778ccf,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""June"":0,""November"":0,""April"":1,""October"":1,""August"":1,""December"":0,""July"":1,""September"":1,""January"":1,""March"":1,""May"":0,""February"":1}",NA,4994,6/5/19 12:26,37597
94a9cfb42f74b4de83d1fd3967c76ece,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,"february
february",NA,16000,6/5/19 12:26,37598
40a64ca0c8614b08012ef94fb31cdd9b,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,October,NA,16000,6/5/19 12:26,37599
d9f95e4b4bb24a34da0eaf6b10a60f08,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""November"":0,""December"":0,""July"":0,""April"":1,""September"":0,""August"":1,""June"":0,""January"":1,""March"":0,""May"":0,""October"":1,""February"":0}",NA,20308,6/5/19 12:26,37600
e5d0301fef9cb79be515ad3cf0f51345,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,December,NA,16000,6/5/19 12:26,37601
9465c38635d14d19a28344227d8fe401,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""March"":0,""January"":0,""December"":1,""September"":1,""July"":0,""February"":1,""October"":1,""May"":0,""June"":0,""November"":1,""April"":1,""August"":0}",NA,6097,6/5/19 12:26,37602
a7645269c2219564d4519dd722f13cf1,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""June"":0,""March"":0,""May"":0,""September"":1,""November"":0,""July"":0,""February"":1,""January"":0,""April"":1,""October"":1,""August"":0,""December"":0}",NA,54981,6/5/19 12:26,37603
922cdd7a04398b2a20d8a0ea057fef45,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""July"":0,""August"":0,""April"":0,""May"":0,""January"":0,""November"":1,""March"":0,""December"":1,""February"":0,""October"":0,""September"":0,""June"":0}",NA,1752,6/5/19 12:26,37604
f764987cb7c15221b700808cd74b8a8e,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,November,NA,16000,6/5/19 12:26,37605
3e7f24fcab2e1790be89c88b2a8e253e,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""January"":0,""October"":0,""August"":1,""June"":1,""November"":0,""July"":1,""March"":1,""April"":0,""February"":0,""September"":0,""December"":0,""May"":1}",NA,13633,6/5/19 12:26,37606
d70d824270de5baca1aa20a78e3f95f3,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""October"":0,""May"":1,""December"":1,""June"":1,""February"":1,""September"":0,""January"":1,""March"":1,""July"":1,""November"":0,""August"":0,""April"":1}",NA,6841,6/5/19 12:26,37607
91f01d56e0ef3b5a99334a6c914ad292,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,November,NA,16000,6/5/19 12:26,37608
94415cb36fabaf6e95aa9d2b98fe8503,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,April,NA,16000,6/5/19 12:26,37609
52d09e4fbcee55977d5d9b3dc1b536ae,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,July,NA,16000,6/5/19 12:26,37610
d6e1e36a87df9fb3d16c7415438a7c53,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,September,NA,16000,6/5/19 12:26,37611
f6377f957e2e3b1f18a66392fd98229f,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,June,NA,16000,6/5/19 12:26,37612
215eb97e51116b75271eba376b6a53dd,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,MARCH,NA,16000,6/5/19 12:27,37613
93ab53f6f7fa915e1b3627d26a2aebf5,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,"December
December",NA,16000,6/5/19 12:27,37614
8f7653d451cf3a002900498bdf463d36,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""September"":0,""December"":0,""August"":1,""November"":0,""October"":0,""June"":1,""July"":0,""April"":1,""February"":0,""January"":0,""May"":0,""March"":1}",NA,5193,6/5/19 12:27,37615
d1a0a583f6ea3f1795791b87b6991185,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""December"":1,""March"":1,""May"":1,""October"":1,""September"":1,""August"":1,""January"":0,""April"":0,""July"":0,""June"":0,""February"":0,""November"":0}",NA,6745,6/5/19 12:27,37616
40a64ca0c8614b08012ef94fb31cdd9b,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""February"":0,""December"":0,""September"":0,""November"":0,""August"":0,""May"":0,""July"":0,""April"":0,""June"":0,""January"":0,""March"":0,""October"":1}",NA,3127,6/5/19 12:27,37617
7beae255fd7d34f1cbf5d3515d72128b,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""February"":1,""April"":0,""May"":0,""November"":0,""August"":0,""January"":1,""March"":1,""September"":1,""July"":0,""October"":0,""December"":0,""June"":0}",NA,11892,6/5/19 12:27,37618
31f6c007bacf045f9e15afeba6eb0962,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,January,NA,16000,6/5/19 12:27,37619
4737d0a0370e126209d3236cea5ab66f,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,March,NA,16000,6/5/19 12:27,37620
bc98df1cc3c208a722f227fb2030f73a,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,November,NA,16000,6/5/19 12:27,37621
57991ae2bcfa59aeae01ce6bafa20a46,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,December,NA,16000,6/5/19 12:27,37622
868e086ea21cd4014edb00736f7ba8f5,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,"june
",NA,16000,6/5/19 12:27,37623
fc06126c3f63e296c7fde3e55383f9e6,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,"October
October
",NA,16000,6/5/19 12:27,37624
98fcc8f28a7e7bf721ff80e639187d74,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,December,NA,16000,6/5/19 12:27,37625
e03e48c647a10b80ffed5a89cc725039,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,June,NA,16000,6/5/19 12:27,37626
a99c7c04bb86b1fea9635904e2e4ad46,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,NULL,NULL,NULL,NA,0,September,NA,16000,6/5/19 12:27,37627
a791e7402ed884837ee8216b9a3122c6,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""April"":0,""December"":0,""July"":0,""May"":0,""June"":0,""September"":0,""March"":1,""February"":0,""November"":1,""August"":1,""January"":0,""October"":1}",NA,27790,6/5/19 12:27,37628
